City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,banda aceh,5.5577,95.3222,29.920000000000016,66,100,7.58,ID,1693473298
169,ust-nera,64.5667,143.2,14.720000000000027,90,100,4.03,RU,1693473529
170,klyuchi,52.2667,79.1667,17.58000000000004,56,100,2.1,RU,1693473534
171,fortuna,40.5982,-124.1573,16.189999999999998,96,100,4.12,US,1693473537
172,egilsstadir,65.2653,-14.3948,7.9500000000000455,93,100,1.03,IS,1693473539
173,ebaye,8.7748,167.7392,28.010000000000048,83,75,5.66,MH,1693473542
174,dongkan,33.9997,119.8308,26.480000000000018,71,2,2.74,CN,1693473377
175,midvagur,62.0511,-7.1939,10.460000000000036,71,100,3.09,FO,1693473547
176,dumai,1.6833,101.45,28.0,87,100,0.52,ID,1693473438
177,port augusta,-32.5,137.7667,11.689999999999998,77,12,4.47,AU,1693473411
178,jamestown,42.097,-79.2353,14.770000000000039,90,100,3.09,US,1693473419
179,zheleznogorsk,52.331,35.3711,26.460000000000036,30,1,4.57,RU,1693473557
180,broken hill,-31.95,141.4333,12.439999999999998,55,5,4.65,AU,1693473560
181,dapa,9.7594,126.0531,30.02000000000004,74,24,3.92,PH,1693473562
182,cambria,35.5641,-121.0808,19.5,60,0,0.56,US,1693473564
183,tibati,6.4667,12.6333,23.090000000000032,84,99,0.53,CM,1693473477
184,saipan,15.1355,145.701,27.390000000000043,89,75,3.6,MP,1693473380
185,kotido,2.9806,34.1331,28.230000000000018,38,30,5.27,UG,1693473572
186,la sarre,48.8002,-79.1996,5.960000000000036,94,0,2.38,CA,1693473574
187,maymana,35.9214,64.7836,27.78000000000003,24,8,5.99,AF,1693473301
188,selfoss,63.9331,-20.9971,10.580000000000041,79,100,1.35,IS,1693473579
189,cockburn town,21.4612,-71.1419,28.980000000000018,81,100,8.45,TC,1693473582
190,waddan,29.1614,16.139,34.110000000000014,26,6,7.0,LY,1693473537
191,tamiahua,21.2667,-97.45,25.960000000000036,80,5,1.63,MX,1693473586
192,isfahan,32.6572,51.6776,30.80000000000001,13,0,0.44,IR,1693473589
193,east london,-33.0153,27.9116,30.75,24,0,2.02,ZA,1693473400
194,walvis bay,-22.9575,14.5053,13.379999999999995,73,68,5.29,NA,1693473594
195,fort st. john,56.2499,-120.8529,14.939999999999998,67,100,6.69,CA,1693473442
196,kasempa,-13.4584,25.8338,25.370000000000005,26,0,3.21,ZM,1693473599
197,pampa del indio,-26.0647,-59.919,17.660000000000025,63,0,2.25,AR,1693473602
198,lavrio,37.7145,24.0565,32.200000000000045,45,7,8.46,GR,1693473604
199,college,64.8569,-147.8028,10.970000000000027,93,75,2.06,US,1693473607
200,vorgashor,67.5833,63.95,12.950000000000045,66,100,2.48,RU,1693473610
201,hajin,34.6927,40.827,36.73000000000002,25,0,5.16,SY,1693473366
202,puerto carreno,6.189,-67.4859,23.99000000000001,89,90,1.36,CO,1693473615
203,cienfuegos,22.1461,-80.4356,27.08000000000004,94,95,1.54,CU,1693473617
204,jumla,29.2747,82.1838,25.400000000000034,58,19,3.48,NP,1693473620
205,lanxi,29.2195,119.477,26.870000000000005,75,87,2.26,CN,1693473622
206,baikunthpur,23.25,82.55,30.33000000000004,61,92,0.56,IN,1693473544
207,ruiz,21.95,-105.15,24.53000000000003,94,100,1.87,MX,1693473627
208,topolobampo,25.6,-109.05,28.32000000000005,77,63,4.98,MX,1693473629
209,nelson bay,-32.7167,152.15,17.78000000000003,87,5,2.68,AU,1693473632
210,pudasjarvi,65.3833,26.9167,13.870000000000005,91,100,4.67,FI,1693473634
211,margaret river,-33.95,115.0667,19.05000000000001,66,0,2.52,AU,1693473616
212,wewak,-3.5534,143.6268,26.850000000000023,85,13,3.98,PG,1693473446
213,heniches'k,46.1759,34.8034,27.27000000000004,66,0,3.69,UA,1693473641
214,ciorescu,47.1294,28.8856,26.900000000000034,38,38,3.17,MD,1693473644
215,hinche,19.15,-72.0167,23.49000000000001,91,100,1.42,HT,1693473394
216,khandyga,62.6667,135.6,21.75,61,42,2.2,RU,1693473649
217,kingston,17.997,-76.7936,29.53000000000003,82,20,4.12,JM,1693473651
218,potosi,-19.5836,-65.7531,3.2200000000000273,37,1,1.06,BO,1693473657
219,chibougamau,49.9168,-74.3659,4.7900000000000205,93,100,1.03,CA,1693473659
220,nova sintra,14.8667,-24.7167,23.900000000000034,83,99,6.33,CV,1693473662
221,griffith,41.5284,-87.4237,12.960000000000036,94,0,0.0,US,1693473477
222,punta arenas,-53.15,-70.9167,2.410000000000025,80,23,10.13,CL,1693473667
223,amahai,-3.3333,128.9167,25.29000000000002,84,76,5.51,ID,1693473485
224,constantia,44.1833,28.65,27.610000000000014,62,7,3.12,RO,1693473672
225,machagai,-26.9261,-60.0496,16.590000000000032,68,0,1.95,AR,1693473674
226,bridgewater,44.3835,-64.5155,17.840000000000032,96,100,5.14,CA,1693473679
227,mount isa,-20.7333,139.5,23.870000000000005,19,0,4.12,AU,1693473628
228,nuuk,64.1835,-51.7216,4.340000000000032,87,75,3.09,GL,1693473684
229,north platte,41.1239,-100.7654,20.620000000000005,63,0,5.81,US,1693473687
230,mahanoro,-19.9,48.8,23.760000000000048,60,77,3.02,MG,1693473689
231,dese,11.1333,39.6333,19.379999999999995,57,65,3.68,ET,1693473692
232,itanagar,27.1,93.6167,32.420000000000016,59,19,2.09,IN,1693473694
233,langepas,61.2544,75.2124,21.77000000000004,50,96,6.74,RU,1693473697
234,ha'il,27.5219,41.6907,35.01000000000005,17,0,3.09,SA,1693473699
235,labuan,5.2767,115.2417,31.200000000000045,66,20,1.03,MY,1693473702
236,berezovo,63.9381,65.0419,18.920000000000016,58,95,7.15,RU,1693473704
237,alapli,41.1694,31.3792,30.07000000000005,43,0,2.83,TR,1693473707
238,martapura,-3.4167,114.85,32.05000000000001,51,40,4.12,ID,1693473442
239,vorkuta,67.5,64.0,13.900000000000034,62,100,2.9,RU,1693473712
240,taulaga,-11.0553,-171.0883,27.930000000000007,79,32,7.49,AS,1693473714
241,mejit,10.2753,170.8646,28.55000000000001,78,70,7.25,MH,1693473717
242,antofagasta,-23.65,-70.4,15.600000000000023,83,45,1.38,CL,1693473719
243,antsiranana,-12.2787,49.2917,28.420000000000016,44,40,7.2,MG,1693473722
244,akjoujt,19.6969,-14.4164,31.120000000000005,55,11,3.94,MR,1693473727
245,kuraymah,18.55,31.85,37.55000000000001,29,85,6.3,SD,1693473502
246,kenai,60.5544,-151.2583,10.080000000000041,91,0,2.57,US,1693473732
247,thinadhoo,0.5333,72.9333,27.910000000000025,71,88,3.08,MV,1693473734
248,grimma,51.2333,12.7167,18.28000000000003,58,14,6.72,DE,1693473737
249,kingscliff,-28.2667,153.5667,19.29000000000002,88,62,2.57,AU,1693473739
250,urangan,-25.3,152.9,20.120000000000005,76,3,6.13,AU,1693473742
251,aquiraz,-3.9014,-38.3911,26.77000000000004,80,26,4.34,BR,1693473744
252,prince rupert,54.3161,-130.3201,14.050000000000011,100,100,3.6,CA,1693473746
